campaign_id,location,device,CTR,CPC,CPM,ConversionRate,ROI
CAMP_1059,USA,Tablet,0.0960,1.0269,98.5440,0.1100,1.1535
CAMP_1070,Australia,Desktop,0.0915,1.0382,94.9830,0.0972,1.1045
CAMP_1043,Australia,Desktop,0.0899,1.0928,98.2820,0.1021,0.9892
CAMP_1007,UK,Desktop,0.0919,1.0490,96.3970,0.1058,1.0103
CAMP_1046,Australia,Desktop,0.0937,1.0799,101.2080,0.0965,0.9737
CAMP_1034,Canada,Mobile,0.1003,0.9767,97.9610,0.0999,1.0035
CAMP_1077,Canada,Mobile,0.0929,1.0290,95.5520,0.0924,0.9947
CAMP_1080,Australia,Desktop,0.0884,1.1120,98.3360,0.1074,1.0587
CAMP_1035,Germany,Desktop,0.0874,1.0050,87.8370,0.1050,0.9947
CAMP_1049,Germany,Tablet,0.0922,1.0472,96.5870,0.1005,0.9387
CAMP_1001,India,Desktop,0.0922,1.0482,96.6260,0.0968,0.9281
CAMP_1005,Germany,Tablet,0.0948,1.0472,99.2490,0.1032,0.9110
CAMP_1053,Australia,Tablet,0.0920,0.9160,84.2550,0.0962,1.2059
CAMP_1003,Germany,Desktop,0.0962,1.1063,106.4200,0.0960,0.9167
CAMP_1053,Australia,Desktop,0.0952,1.0320,98.2730,0.0913,0.9970
CAMP_1092,Australia,Mobile,0.0947,1.0378,98.2900,0.1088,1.0064
CAMP_1062,India,Mobile,0.0928,1.0865,100.8050,0.1098,1.1171
CAMP_1017,Australia,Tablet,0.1013,0.9486,96.1040,0.0984,1.0146
CAMP_1089,UK,Mobile,0.0939,1.0287,96.5530,0.1008,1.0220
CAMP_1043,USA,Mobile,0.1017,1.0928,111.1200,0.1003,0.8780
CAMP_1033,Canada,Mobile,0.0911,1.1448,104.2810,0.1079,1.0786
CAMP_1073,Canada,Tablet,0.0970,1.0041,97.3890,0.0956,1.0283
CAMP_1061,UK,Desktop,0.0906,1.0064,91.1620,0.0986,1.0617
CAMP_1099,Germany,Desktop,0.0979,1.0058,98.4870,0.0987,0.9782
CAMP_1013,USA,Mobile,0.1009,0.9771,98.5860,0.0977,1.1103
CAMP_1094,UK,Tablet,0.0914,1.0737,98.1470,0.1050,1.0085
CAMP_1047,India,Tablet,0.1068,1.0300,109.9990,0.0975,0.9212
CAMP_1014,India,Mobile,0.0998,0.9926,99.0990,0.0976,1.1926
CAMP_1071,UK,Tablet,0.0976,0.9876,96.4370,0.1002,0.9544
CAMP_1077,UK,Tablet,0.1001,0.9735,97.4060,0.0876,0.9007
CAMP_1086,Australia,Tablet,0.0971,0.9917,96.2490,0.1035,1.0107
CAMP_1061,Canada,Tablet,0.0948,1.0395,98.5800,0.0984,1.0809
CAMP_1039,Australia,Mobile,0.0949,1.0036,95.1900,0.1008,0.9584
CAMP_1084,USA,Mobile,0.0962,0.9349,89.9470,0.0963,1.1825
CAMP_1079,Australia,Mobile,0.0988,1.0387,102.5910,0.0995,1.0835
CAMP_1081,India,Tablet,0.0941,0.9958,93.7500,0.0998,1.0383
CAMP_1052,Canada,Desktop,0.0932,1.1101,103.4830,0.1019,0.8410
CAMP_1023,Australia,Mobile,0.0985,1.0644,104.8180,0.0958,0.7784
CAMP_1025,USA,Desktop,0.0903,1.0157,91.6740,0.1020,1.1624
CAMP_1088,India,Tablet,0.1003,0.9734,97.6140,0.0972,0.9921
CAMP_1059,Canada,Desktop,0.0971,1.0363,100.6290,0.1022,1.0725
CAMP_1040,Australia,Tablet,0.0932,1.0216,95.2110,0.1014,1.0321
CAMP_1028,Germany,Tablet,0.0868,1.1065,96.0890,0.1066,1.0182
CAMP_1014,USA,Mobile,0.0943,1.0871,102.5010,0.0948,0.9336
CAMP_1044,Australia,Mobile,0.0864,1.0734,92.7300,0.1045,1.2407
CAMP_1064,USA,Desktop,0.0922,1.1109,102.3720,0.1049,0.8613
CAMP_1088,Australia,Desktop,0.0875,1.0650,93.1760,0.1073,1.0283
CAMP_1070,India,Tablet,0.0955,1.0037,95.8050,0.1036,1.1229
CAMP_1008,Canada,Mobile,0.0939,1.1269,105.7650,0.1000,0.9424
CAMP_1087,Australia,Tablet,0.0986,0.9741,96.0570,0.0929,1.0176
CAMP_1000,Australia,Desktop,0.0973,1.0288,100.0810,0.1080,0.8979
CAMP_1007,Canada,Tablet,0.0911,1.0351,94.3330,0.1030,0.9484
CAMP_1087,India,Mobile,0.1040,0.9639,100.2740,0.0950,1.0410
CAMP_1062,USA,Mobile,0.0970,1.0002,97.0570,0.0951,1.1282
CAMP_1010,Australia,Mobile,0.0936,1.0222,95.6560,0.1003,1.0380
CAMP_1080,Canada,Desktop,0.1010,0.9978,100.8220,0.0912,0.9173
CAMP_1034,Australia,Tablet,0.0941,1.0042,94.4540,0.1060,1.0954
CAMP_1032,USA,Desktop,0.0943,0.9950,93.7750,0.1001,0.9768
CAMP_1004,Germany,Tablet,0.0952,1.0979,104.5260,0.1060,1.0375
CAMP_1040,UK,Desktop,0.0895,1.0512,94.1140,0.1036,1.0467
CAMP_1027,Canada,Desktop,0.0920,1.0754,98.9180,0.1007,0.9077
CAMP_1006,Canada,Mobile,0.0940,1.0473,98.4990,0.1021,1.0527
CAMP_1072,UK,Mobile,0.0980,0.9792,95.9420,0.0970,1.0677
CAMP_1071,Germany,Tablet,0.1052,0.9222,97.0250,0.0944,1.0078
CAMP_1011,USA,Desktop,0.0891,1.0819,96.4170,0.0974,0.8884
CAMP_1033,Canada,Tablet,0.0995,1.0125,100.7210,0.0990,0.9295
CAMP_1047,Canada,Mobile,0.0974,1.0048,97.9170,0.0981,0.9598
CAMP_1022,UK,Mobile,0.1024,1.0176,104.2150,0.0989,1.0480
CAMP_1061,Australia,Tablet,0.0959,1.0086,96.7060,0.0952,1.1975
CAMP_1087,USA,Desktop,0.0968,0.9921,96.0370,0.0993,0.9637
CAMP_1036,India,Mobile,0.1058,1.0078,106.6170,0.0958,0.8096
CAMP_1098,Canada,Mobile,0.0932,1.0212,95.2230,0.1086,1.0654
CAMP_1043,UK,Tablet,0.0960,0.9742,93.4780,0.0993,1.0212
CAMP_1085,India,Desktop,0.0994,0.9577,95.2280,0.1014,1.0399
CAMP_1090,Canada,Mobile,0.0919,1.0535,96.7950,0.1040,0.9984
CAMP_1034,Germany,Mobile,0.0916,1.1600,106.2040,0.0992,0.7738
CAMP_1064,Germany,Tablet,0.0946,1.0742,101.5770,0.1038,0.9656
CAMP_1098,UK,Tablet,0.0903,1.0917,98.5700,0.0991,0.9183
CAMP_1046,India,Desktop,0.1012,1.0442,105.6620,0.1007,0.8979
CAMP_1077,Canada,Desktop,0.0969,0.9955,96.4250,0.0964,0.9725
CAMP_1000,India,Desktop,0.0959,1.0226,98.0610,0.0893,0.9118
CAMP_1004,Germany,Desktop,0.0922,1.0871,100.2250,0.1033,1.0303
CAMP_1089,Canada,Mobile,0.0949,1.0850,102.9080,0.1025,0.8831
CAMP_1013,Australia,Mobile,0.0960,0.9883,94.9270,0.0966,1.1602
CAMP_1026,USA,Tablet,0.1063,0.9444,100.3590,0.1072,1.2918
CAMP_1078,Canada,Desktop,0.0913,1.0974,100.2040,0.1092,0.9057
CAMP_1014,Germany,Tablet,0.0943,1.0516,99.1410,0.0988,1.0277
CAMP_1089,UK,Tablet,0.0979,1.0369,101.4970,0.0995,0.9686
CAMP_1041,UK,Desktop,0.0944,1.0700,100.9920,0.1078,1.0156
CAMP_1076,Canada,Tablet,0.0963,1.0041,96.7300,0.1063,1.0151
CAMP_1050,Canada,Tablet,0.0981,1.0482,102.8680,0.1006,0.9416
CAMP_1062,India,Tablet,0.0973,1.0944,106.5030,0.1065,0.9192
CAMP_1095,Germany,Tablet,0.0966,1.0422,100.6440,0.1024,0.8829
CAMP_1051,UK,Tablet,0.0897,1.0299,92.4290,0.1068,1.0290
CAMP_1095,Germany,Desktop,0.0933,1.0722,100.0100,0.1005,0.8185
CAMP_1003,UK,Tablet,0.0902,1.0357,93.3760,0.0965,0.9552
CAMP_1093,India,Mobile,0.0957,1.0403,99.5850,0.1044,0.9073
CAMP_1014,India,Desktop,0.0935,0.9849,92.1070,0.1057,1.0605
CAMP_1042,UK,Mobile,0.0863,1.0881,93.8700,0.1074,1.0506
CAMP_1028,India,Mobile,0.0987,1.0021,98.9330,0.0979,1.0141
CAMP_1035,Germany,Mobile,0.0961,1.0110,97.1660,0.1036,1.1745
CAMP_1012,Australia,Desktop,0.1018,1.0477,106.6180,0.0990,0.9562
CAMP_1031,UK,Desktop,0.0967,1.0567,102.1370,0.1076,1.0706
CAMP_1070,Canada,Mobile,0.1011,0.9975,100.8480,0.0989,1.0419
CAMP_1058,Germany,Desktop,0.0936,1.0637,99.5180,0.0966,0.9999
CAMP_1085,Canada,Mobile,0.0911,1.0515,95.7670,0.1005,1.0303
CAMP_1027,USA,Desktop,0.1076,0.9629,103.6480,0.0948,1.0592
CAMP_1065,India,Mobile,0.0955,1.0862,103.7750,0.1023,1.0366
CAMP_1044,Germany,Desktop,0.0887,1.1593,102.7910,0.0997,1.0136
CAMP_1061,USA,Desktop,0.0951,1.0120,96.2280,0.0943,1.1042
CAMP_1056,USA,Mobile,0.0986,1.0174,100.3530,0.1000,1.0355
CAMP_1005,India,Tablet,0.0950,1.1588,110.1030,0.1059,0.8025
CAMP_1027,UK,Desktop,0.0931,1.0898,101.4940,0.1037,0.9579
CAMP_1027,Canada,Tablet,0.1104,0.9020,99.5730,0.0973,1.2217
CAMP_1043,UK,Mobile,0.1012,0.9589,97.0870,0.0982,1.0031
CAMP_1083,USA,Mobile,0.0988,0.9885,97.6710,0.1020,1.1059
CAMP_1029,Canada,Mobile,0.0957,0.9771,93.4990,0.0878,0.9786
CAMP_1074,India,Desktop,0.1007,1.0386,104.5990,0.1034,0.9904
CAMP_1091,Canada,Mobile,0.0941,1.0240,96.3920,0.1025,0.9758
CAMP_1088,Canada,Desktop,0.0955,1.0689,102.0510,0.0937,0.9570
CAMP_1061,India,Desktop,0.1015,1.0081,102.3580,0.0999,1.0464
CAMP_1096,Australia,Desktop,0.0951,1.0345,98.3920,0.1041,1.0526
CAMP_1026,USA,Desktop,0.0932,1.0494,97.7560,0.1030,0.9459
CAMP_1076,India,Desktop,0.1002,0.9874,98.9140,0.0983,1.0237
CAMP_1002,Canada,Tablet,0.0931,1.0185,94.8210,0.1042,1.1224
CAMP_1069,Australia,Desktop,0.0966,1.0764,103.9920,0.1091,1.0758
CAMP_1071,Canada,Desktop,0.0979,0.9849,96.4400,0.0968,1.0976
CAMP_1026,UK,Desktop,0.1003,0.9313,93.4330,0.0965,1.0956
CAMP_1008,India,Mobile,0.0958,0.9860,94.4990,0.1036,1.1462
CAMP_1036,India,Desktop,0.0892,1.0652,95.0370,0.1008,0.8665
CAMP_1096,USA,Tablet,0.0983,0.9738,95.6780,0.0984,1.1459
CAMP_1050,Australia,Mobile,0.0942,1.1103,104.6200,0.1087,0.8483
CAMP_1023,Germany,Desktop,0.0956,0.9579,91.5280,0.1008,1.0641
CAMP_1078,UK,Tablet,0.1052,1.0194,107.2130,0.0889,0.9062
CAMP_1058,Germany,Tablet,0.0924,1.0812,99.8570,0.1051,1.0128
CAMP_1031,Germany,Tablet,0.1030,1.0742,110.6820,0.0906,0.8546
CAMP_1095,USA,Desktop,0.0894,1.1258,100.6230,0.1089,0.8895
CAMP_1087,India,Tablet,0.0954,1.1011,105.0170,0.0971,0.8258
CAMP_1051,Germany,Tablet,0.0916,1.0412,95.3800,0.1026,1.0194
CAMP_1061,UK,Mobile,0.1045,1.0363,108.2620,0.0992,0.8737
CAMP_1057,UK,Desktop,0.0892,1.0764,96.0400,0.1020,1.0317
CAMP_1051,India,Tablet,0.0917,0.9999,91.7310,0.1031,1.1067
CAMP_1011,Australia,Mobile,0.0975,1.0282,100.2860,0.1035,0.9285
CAMP_1038,UK,Tablet,0.0930,1.0603,98.5650,0.1036,0.9709
CAMP_1001,Australia,Desktop,0.0972,0.9697,94.2840,0.0984,1.0925
CAMP_1002,Canada,Desktop,0.1009,1.0301,103.9050,0.0989,0.9440
CAMP_1055,Canada,Desktop,0.0918,1.0744,98.6190,0.1000,0.7969
CAMP_1080,UK,Tablet,0.0979,1.0042,98.2620,0.1045,1.1272
CAMP_1058,Canada,Tablet,0.0995,1.0223,101.6870,0.0957,0.9189
CAMP_1001,Canada,Tablet,0.0983,0.9848,96.7610,0.0912,0.9897
CAMP_1091,UK,Tablet,0.0922,1.1113,102.4540,0.1007,0.9366
CAMP_1086,UK,Mobile,0.1026,1.0287,105.4950,0.0996,0.9946
CAMP_1095,UK,Desktop,0.0939,1.0365,97.3400,0.0968,1.0093
CAMP_1000,Australia,Tablet,0.0962,1.0338,99.4580,0.0989,0.9364
CAMP_1018,USA,Tablet,0.1005,0.9601,96.5170,0.0940,1.1047
CAMP_1001,UK,Tablet,0.0993,0.9663,95.9420,0.0975,1.1552
CAMP_1052,Canada,Tablet,0.0927,1.0880,100.8490,0.1084,0.8233
CAMP_1043,India,Mobile,0.1017,1.0086,102.5330,0.0951,1.0124
CAMP_1089,Germany,Mobile,0.1076,0.9078,97.7040,0.0976,1.2175
CAMP_1031,Australia,Tablet,0.0922,1.0915,100.5960,0.1075,0.9623
CAMP_1031,Canada,Tablet,0.1047,0.9648,101.0570,0.0991,1.1728
CAMP_1067,USA,Tablet,0.1012,1.1002,111.3270,0.0951,0.8281
CAMP_1054,Germany,Mobile,0.0905,1.0868,98.3360,0.0985,0.8124
CAMP_1074,Germany,Tablet,0.1006,1.0255,103.1450,0.1043,0.9621
CAMP_1055,UK,Desktop,0.0938,1.0056,94.2870,0.0989,1.1615
CAMP_1016,Australia,Mobile,0.0973,1.0484,101.9810,0.1065,1.0650
CAMP_1037,USA,Desktop,0.1025,1.0957,112.3010,0.0995,0.8483
CAMP_1023,Canada,Mobile,0.0994,1.0643,105.7650,0.1013,1.0746
CAMP_1068,Australia,Mobile,0.0915,1.0597,96.9730,0.1025,0.9668
CAMP_1097,Germany,Tablet,0.0958,1.0305,98.7090,0.0997,1.0411
CAMP_1069,Canada,Desktop,0.1017,0.9803,99.6670,0.0958,1.0796
CAMP_1085,India,Tablet,0.0976,0.9989,97.5050,0.0946,0.9648
CAMP_1010,Canada,Tablet,0.0911,1.0709,97.5880,0.1021,1.0721
CAMP_1015,UK,Desktop,0.0949,1.0491,99.5820,0.1027,1.0847
CAMP_1096,India,Tablet,0.0895,1.0992,98.3330,0.1065,0.9928
CAMP_1072,UK,Tablet,0.1011,0.9919,100.2400,0.1001,1.0462
CAMP_1058,USA,Tablet,0.1052,0.9418,99.0610,0.0916,0.8664
CAMP_1069,UK,Desktop,0.1013,0.9535,96.5600,0.1040,1.0664
CAMP_1079,UK,Tablet,0.0926,0.9687,89.6540,0.0986,1.0539
CAMP_1092,USA,Mobile,0.1020,1.0955,111.7390,0.1024,0.9041
CAMP_1002,USA,Mobile,0.0994,0.8878,88.2580,0.0922,1.2622
CAMP_1019,India,Mobile,0.0914,1.0475,95.6880,0.1022,0.9862
CAMP_1058,UK,Tablet,0.0963,1.0286,99.0350,0.0918,0.9257
CAMP_1035,India,Mobile,0.0982,1.0260,100.7900,0.0981,0.8848
CAMP_1018,USA,Mobile,0.0977,0.9573,93.5340,0.0927,1.1363
CAMP_1066,USA,Tablet,0.1072,0.9620,103.0910,0.0929,1.0628
CAMP_1018,Germany,Mobile,0.0964,0.9522,91.7840,0.0978,1.0982
CAMP_1019,Canada,Tablet,0.0910,1.0847,98.6880,0.0972,0.8925
CAMP_1095,UK,Mobile,0.0941,1.0828,101.8880,0.1020,1.0246
CAMP_1070,Australia,Mobile,0.0999,1.0316,103.0640,0.1017,1.0852
CAMP_1051,Australia,Mobile,0.1050,0.9998,105.0270,0.0943,1.0806
CAMP_1032,Canada,Tablet,0.0903,1.1173,100.9320,0.1101,0.9177
CAMP_1039,UK,Mobile,0.1056,0.9765,103.0770,0.0960,0.9786
CAMP_1038,Canada,Tablet,0.1032,1.0146,104.7390,0.0947,0.9705
CAMP_1081,USA,Tablet,0.0887,1.0755,95.3530,0.1042,0.8566
CAMP_1000,India,Tablet,0.0954,1.0034,95.7680,0.1008,0.9522
CAMP_1010,Canada,Desktop,0.0948,1.0381,98.3950,0.1053,0.9276
CAMP_1091,USA,Tablet,0.0965,1.0283,99.1840,0.0958,0.9818
CAMP_1056,India,Tablet,0.0979,1.0224,100.0820,0.0979,0.9543
CAMP_1088,USA,Desktop,0.0995,1.0095,100.4530,0.0941,0.9860
CAMP_1049,Australia,Tablet,0.0873,1.0833,94.5890,0.1012,1.0641
CAMP_1022,USA,Desktop,0.0934,1.0536,98.4310,0.0996,0.8737
CAMP_1030,UK,Mobile,0.1013,0.9829,99.6110,0.1064,1.0316
CAMP_1093,USA,Mobile,0.0895,1.1223,100.3980,0.1028,0.9246
CAMP_1041,Canada,Mobile,0.0978,0.9823,96.0970,0.1029,1.0727
CAMP_1098,Germany,Desktop,0.0833,1.1820,98.4510,0.1259,1.1119
CAMP_1006,Germany,Mobile,0.0957,0.9814,93.9560,0.0950,0.9893
CAMP_1015,India,Mobile,0.0904,1.1026,99.7190,0.1084,1.0775
CAMP_1089,Germany,Desktop,0.0979,1.0654,104.3280,0.0982,0.9906
CAMP_1059,Australia,Mobile,0.0904,1.0799,97.6100,0.1105,0.9370
CAMP_1001,USA,Mobile,0.0958,1.0352,99.1570,0.0941,0.9107
CAMP_1000,Australia,Mobile,0.0951,1.0593,100.7330,0.1030,1.1188
CAMP_1047,Germany,Desktop,0.0874,1.1091,96.9640,0.1062,1.0041
CAMP_1011,Germany,Mobile,0.0963,1.0201,98.2780,0.0950,0.9809
CAMP_1068,UK,Desktop,0.1011,1.0012,101.1990,0.0980,0.8938
CAMP_1036,Canada,Desktop,0.0994,1.0319,102.5610,0.1033,1.0346
CAMP_1031,India,Mobile,0.0994,0.9807,97.5260,0.0989,1.1061
CAMP_1008,Germany,Desktop,0.0942,1.0522,99.0990,0.1078,1.0147
CAMP_1098,Germany,Tablet,0.0923,1.0446,96.4050,0.1039,0.9062
CAMP_1018,Germany,Tablet,0.0934,1.0868,101.5310,0.0985,0.9868
CAMP_1079,Germany,Desktop,0.0900,1.1209,100.8780,0.1129,1.0365
CAMP_1002,Germany,Mobile,0.0963,1.0033,96.6420,0.0983,1.1138
CAMP_1019,UK,Mobile,0.0928,1.1023,102.2450,0.0979,0.9201
CAMP_1023,Australia,Desktop,0.0905,1.0756,97.3280,0.1005,1.0744
CAMP_1053,UK,Desktop,0.0996,0.9598,95.5530,0.0930,1.0235
CAMP_1032,Canada,Desktop,0.0934,0.9960,93.0450,0.0983,1.0999
CAMP_1023,Australia,Tablet,0.0959,0.9918,95.1070,0.0974,0.9204
CAMP_1074,USA,Desktop,0.0955,0.9638,92.0210,0.0995,1.0507
CAMP_1071,UK,Mobile,0.0933,1.0391,96.9040,0.1017,0.9284
CAMP_1035,UK,Desktop,0.0949,1.0253,97.2950,0.1035,1.0300
CAMP_1037,Canada,Desktop,0.0991,0.9495,94.1220,0.0921,0.9502
CAMP_1088,USA,Mobile,0.0959,1.0376,99.4800,0.1063,0.9512
CAMP_1098,Australia,Desktop,0.1038,0.9833,102.1000,0.1021,0.7911
CAMP_1024,Germany,Tablet,0.1046,1.1015,115.1710,0.0929,0.8074
CAMP_1092,Germany,Desktop,0.0949,1.0758,102.1280,0.0985,0.9552
CAMP_1081,Germany,Desktop,0.0996,1.0352,103.1400,0.0931,0.9832
CAMP_1053,Germany,Tablet,0.0926,1.0614,98.3120,0.1063,0.8859
CAMP_1060,Germany,Mobile,0.1004,0.9414,94.5460,0.0885,1.0707
CAMP_1099,India,Desktop,0.0991,1.0276,101.8610,0.0953,0.9141
CAMP_1032,USA,Tablet,0.0887,1.0495,93.1160,0.1067,0.8951
CAMP_1067,USA,Desktop,0.0892,1.0804,96.3290,0.1084,0.9254
CAMP_1032,UK,Tablet,0.0930,1.1437,106.3320,0.1064,0.8014
CAMP_1013,Canada,Mobile,0.1031,1.0071,103.8800,0.0961,0.9874
CAMP_1020,India,Desktop,0.0949,0.9810,93.1100,0.0955,1.0474
CAMP_1047,Australia,Tablet,0.1013,1.0356,104.9120,0.0983,1.0661
CAMP_1007,Australia,Desktop,0.1013,1.0154,102.8440,0.0980,0.9672
CAMP_1006,India,Desktop,0.0993,0.9254,91.8900,0.0951,1.0633
CAMP_1066,Germany,Mobile,0.1111,0.9799,108.8430,0.0937,0.9368
CAMP_1016,Germany,Desktop,0.0890,1.0978,97.7490,0.1115,1.1886
CAMP_1032,India,Mobile,0.1042,0.9972,103.8790,0.0955,0.9069
CAMP_1047,USA,Mobile,0.0973,1.0601,103.1820,0.0925,0.8808
CAMP_1075,Canada,Tablet,0.0918,1.0363,95.0860,0.0964,1.0937
CAMP_1058,Australia,Mobile,0.0982,0.9204,90.3950,0.0940,1.1707
CAMP_1021,UK,Desktop,0.0890,1.0692,95.1090,0.1163,1.0000
CAMP_1029,Germany,Desktop,0.0926,0.9857,91.2320,0.1060,1.1474
CAMP_1037,UK,Mobile,0.1002,1.0040,100.5760,0.0997,1.0018
CAMP_1050,Germany,Desktop,0.1059,0.9640,102.0990,0.1008,1.1501
CAMP_1053,USA,Mobile,0.0946,0.9635,91.1790,0.1001,1.0906
CAMP_1007,UK,Mobile,0.1060,1.0338,109.5980,0.0958,0.9929
CAMP_1097,Canada,Desktop,0.0900,1.0858,97.6660,0.0989,1.0387
CAMP_1020,UK,Tablet,0.0935,1.0201,95.3930,0.0957,0.9568
CAMP_1029,Canada,Desktop,0.0884,1.0679,94.3930,0.0986,1.0881
CAMP_1096,Germany,Mobile,0.0965,1.0296,99.3820,0.0995,1.0458
CAMP_1027,Australia,Tablet,0.0897,1.0970,98.3510,0.1086,1.0775
CAMP_1063,UK,Tablet,0.0967,1.0121,97.8890,0.1060,1.0157
CAMP_1096,UK,Desktop,0.1004,1.0500,105.4430,0.0958,0.8340
CAMP_1068,India,Desktop,0.0953,1.0383,98.9690,0.0945,0.9968
CAMP_1060,India,Tablet,0.0939,1.0248,96.1930,0.1056,1.0492
CAMP_1047,Canada,Tablet,0.0980,1.0790,105.7070,0.1029,0.8127
CAMP_1018,USA,Desktop,0.0982,0.9731,95.5740,0.0978,1.0187
CAMP_1003,USA,Tablet,0.0872,1.0338,90.1990,0.0989,1.0438
CAMP_1034,Australia,Mobile,0.1015,0.9680,98.2400,0.0965,1.0808
CAMP_1063,USA,Tablet,0.0998,1.0186,101.6650,0.0952,1.0214
CAMP_1048,India,Desktop,0.0920,1.0878,100.0960,0.1033,1.0949
CAMP_1016,UK,Tablet,0.0909,1.0963,99.6380,0.1012,1.0589
CAMP_1043,Canada,Desktop,0.0938,1.0804,101.3540,0.1118,0.9363
